dr_no,area_name,crm_cd,crm_cd_desc,vict_age,vict_sex,vict_descent,premis_desc,status_desc
220715096,Wilshire,310.0,BURGLARY,33.0,M,B,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
211820029,Southeast,440.0,THEFT PLAIN - PETTY ($950 & UNDER),43.0,F,B,SINGLE FAMILY DWELLING,Invest Cont
211413195,Pacific,625.0,OTHER ASSAULT,32.0,F,B,HOTEL,Invest Cont
210122257,Central,310.0,BURGLARY,71.0,M,O,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
200111110,Central,110.0,CRIMINAL HOMICIDE,53.0,M,B,MISSIONS/SHELTERS,Adult Arrest
210811903,West LA,354.0,THEFT OF IDENTITY,23.0,F,W,CONDOMINIUM/TOWNHOUSE,Invest Cont
201804935,Southeast,761.0,BRANDISH WEAPON,15.0,M,H,STREET,Invest Cont
211212613,77th Street,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),27.0,F,H,SIDEWALK,Invest Cont
201113237,Northeast,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,29.0,M,W,SIDEWALK,Adult Other
211007649,West Valley,901.0,VIOLATION OF RESTRAINING ORDER,37.0,F,O,PHARMACY INSIDE STORE OR SUPERMARKET*,Invest Cont
200319473,Southwest,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,46.0,M,B,SINGLE FAMILY DWELLING,Invest Cont
201104942,Northeast,901.0,VIOLATION OF RESTRAINING ORDER,39.0,F,H,SINGLE FAMILY DWELLING,Invest Cont
221820360,Southeast,354.0,THEFT OF IDENTITY,36.0,F,H,SINGLE FAMILY DWELLING,Invest Cont
200214699,Rampart,330.0,BURGLARY FROM VEHICLE,31.0,M,P,STREET,Invest Cont
210814450,West LA,946.0,OTHER MISCELLANEOUS CRIME,35.0,M,B,PARKING UNDERGROUND/BUILDING,Invest Cont
202016817,Olympic,330.0,BURGLARY FROM VEHICLE,38.0,F,B,STREET,Invest Cont
211515427,N Hollywood,888.0,TRESPASSING,25.0,F,B,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
200209388,Rampart,901.0,VIOLATION OF RESTRAINING ORDER,66.0,F,H,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
220815302,West LA,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),58.0,F,W,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
210314721,Southwest,901.0,VIOLATION OF RESTRAINING ORDER,53.0,F,B,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Adult Arrest
202113337,Topanga,310.0,BURGLARY,34.0,M,X,DAY CARE/CHILDREN*,Invest Cont
200319381,Southwest,354.0,THEFT OF IDENTITY,43.0,F,B,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
201409894,Pacific,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),37.0,F,W,SINGLE FAMILY DWELLING,Invest Cont
211418205,Pacific,341.0,THEFT-GRAND ($950.01 & OVER)EXCPTGUNSFOWLLIVESTKPROD,53.0,F,W,DRUG STORE,Invest Cont
200808113,West LA,330.0,BURGLARY FROM VEHICLE,24.0,M,W,STREET,Invest Cont
200918002,Van Nuys,625.0,OTHER ASSAULT,60.0,F,W,PARKING LOT,Adult Other
202004688,Olympic,330.0,BURGLARY FROM VEHICLE,31.0,M,O,PARKING UNDERGROUND/BUILDING,Invest Cont
211106812,Northeast,662.0,BUNCO GRAND THEFT,33.0,F,W,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
210706432,Wilshire,310.0,BURGLARY,23.0,M,A,OTHER BUSINESS,Invest Cont
211011282,West Valley,956.0,LETTERS LEWD  -  TELEPHONE CALLS LEWD,76.0,F,W,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
211911666,Mission,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),63.0,M,H,STREET,Adult Other
211305587,Newton,624.0,BATTERY - SIMPLE ASSAULT,42.0,F,H,STREET,Adult Other
211205837,77th Street,320.0,BURGLARY ATTEMPTED,49.0,F,B,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Adult Arrest
211517415,N Hollywood,330.0,BURGLARY FROM VEHICLE,19.0,M,H,STREET,Invest Cont
221322196,Newton,354.0,THEFT OF IDENTITY,19.0,M,B,MUNICIPAL BUS LINE INCLUDES LADOT/DASH,Invest Cont
211207642,77th Street,805.0,PIMPING,25.0,F,H,SINGLE FAMILY DWELLING,Invest Cont
212014993,Olympic,330.0,BURGLARY FROM VEHICLE,34.0,M,F,STREET,Invest Cont
210201037,Rampart,821.0,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,44.0,M,W,PARK/PLAYGROUND,Invest Cont
210109859,Central,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),40.0,M,H,STREET,Invest Cont
230810392,West LA,860.0,BATTERY WITH SEXUAL CONTACT,15.0,F,A,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
212105127,Topanga,210.0,ROBBERY,22.0,M,O,STREET,Invest Cont
210617694,Hollywood,341.0,THEFT-GRAND ($950.01 & OVER)EXCPTGUNSFOWLLIVESTKPROD,30.0,F,O,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
212016200,Olympic,624.0,BATTERY - SIMPLE ASSAULT,38.0,M,W,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
201615300,Foothill,330.0,BURGLARY FROM VEHICLE,59.0,M,W,STREET,Invest Cont
210510395,Harbor,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,27.0,F,H,SINGLE FAMILY DWELLING,Invest Cont
201115481,Northeast,624.0,BATTERY - SIMPLE ASSAULT,62.0,F,W,SINGLE FAMILY DWELLING,Invest Cont
200509298,Harbor,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),22.0,F,H,VEHICLE PASSENGER/TRUCK,Invest Cont
210504247,Harbor,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,27.0,M,H,SINGLE FAMILY DWELLING,Adult Other
201409667,Pacific,354.0,THEFT OF IDENTITY,49.0,M,B,OTHER PREMISE,Invest Cont
221204069,77th Street,341.0,THEFT-GRAND ($950.01 & OVER)EXCPTGUNSFOWLLIVESTKPROD,52.0,F,B,SINGLE FAMILY DWELLING,Invest Cont
201807564,Southeast,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,36.0,M,H,SINGLE FAMILY DWELLING,Adult Arrest
200408789,Hollenbeck,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,47.0,M,H,STREET,Adult Arrest
201308607,Newton,440.0,THEFT PLAIN - PETTY ($950 & UNDER),27.0,M,H,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
221822792,Southeast,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,33.0,F,B,SINGLE FAMILY DWELLING,Invest Cont
202115187,Topanga,624.0,BATTERY - SIMPLE ASSAULT,23.0,F,W,DEPARTMENT STORE,Invest Cont
200713426,Wilshire,930.0,CRIMINAL THREATS - NO WEAPON DISPLAYED,55.0,F,O,SINGLE FAMILY DWELLING,Adult Other
220222026,Rampart,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,38.0,M,H,PARKING LOT,Invest Cont
221312369,Newton,354.0,THEFT OF IDENTITY,33.0,M,H,CYBERSPACE,Invest Cont
212009419,Olympic,761.0,BRANDISH WEAPON,65.0,M,O,PARKING UNDERGROUND/BUILDING,Invest Cont
200109620,Central,624.0,BATTERY - SIMPLE ASSAULT,58.0,M,B,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS,Adult Other
210306351,Southwest,210.0,ROBBERY,81.0,M,H,STREET,Juv Arrest
211711509,Devonshire,331.0,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),21.0,M,K,SINGLE FAMILY DWELLING,Invest Cont
201421870,Pacific,354.0,THEFT OF IDENTITY,27.0,F,B,SINGLE FAMILY DWELLING,Invest Cont
211213726,77th Street,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,26.0,M,H,STREET,Invest Cont
220405746,Hollenbeck,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,49.0,M,H,STREET,Invest Cont
210615301,Hollywood,440.0,THEFT PLAIN - PETTY ($950 & UNDER),40.0,F,B,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
210815930,West LA,440.0,THEFT PLAIN - PETTY ($950 & UNDER),50.0,F,W,STREET,Invest Cont
210706974,Wilshire,440.0,THEFT PLAIN - PETTY ($950 & UNDER),44.0,F,W,SINGLE FAMILY DWELLING,Invest Cont
201008259,West Valley,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,32.0,F,W,SINGLE FAMILY DWELLING,Adult Arrest
210320038,Southwest,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,40.0,F,H,COLLEGE/JUNIOR COLLEGE/UNIVERSITY,Invest Cont
210619075,Hollywood,110.0,CRIMINAL HOMICIDE,44.0,M,B,SIDEWALK,Invest Cont
211217858,77th Street,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),53.0,M,B,VEHICLE PASSENGER/TRUCK,Invest Cont
210913359,Van Nuys,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,41.0,M,B,STREET,Adult Other
211107080,Northeast,331.0,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),55.0,F,W,STREET,Invest Cont
210909259,Van Nuys,354.0,THEFT OF IDENTITY,39.0,M,H,BANK,Invest Cont
210404069,Hollenbeck,331.0,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),28.0,M,H,STREET,Invest Cont
210619464,Hollywood,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),69.0,F,B,STREET,Invest Cont
212106325,Topanga,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),35.0,M,X,OTHER BUSINESS,Invest Cont
211421017,Pacific,354.0,THEFT OF IDENTITY,29.0,M,W,MAIL BOX,Invest Cont
200413975,Hollenbeck,624.0,BATTERY - SIMPLE ASSAULT,41.0,M,H,STREET,Adult Other
200100758,Central,330.0,BURGLARY FROM VEHICLE,28.0,M,H,STREET,Adult Arrest
210906067,Van Nuys,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,42.0,M,H,STREET,Invest Cont
210708635,Wilshire,310.0,BURGLARY,36.0,F,H,SINGLE FAMILY DWELLING,Invest Cont
221905456,Mission,812.0,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),9.0,F,H,SINGLE FAMILY DWELLING,Adult Other
200406106,Hollenbeck,440.0,THEFT PLAIN - PETTY ($950 & UNDER),27.0,M,W,STREET,Invest Cont
210620160,Hollywood,480.0,BIKE - STOLEN,38.0,M,O,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
200213722,Rampart,210.0,ROBBERY,33.0,M,B,STREET,Invest Cont
210310383,Southwest,624.0,BATTERY - SIMPLE ASSAULT,65.0,M,B,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
212113219,Topanga,354.0,THEFT OF IDENTITY,55.0,M,W,SINGLE FAMILY DWELLING,Invest Cont
211417431,Pacific,624.0,BATTERY - SIMPLE ASSAULT,54.0,M,H,TRANSPORTATION FACILITY (AIRPORT),Invest Cont
210707286,Wilshire,354.0,THEFT OF IDENTITY,40.0,M,W,SINGLE FAMILY DWELLING,Invest Cont
201205434,77th Street,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),29.0,F,B,VEHICLE PASSENGER/TRUCK,Invest Cont
210204554,Rampart,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,27.0,F,B,SIDEWALK,Invest Cont
210319789,Southwest,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,40.0,M,H,STREET,Adult Arrest
201308575,Newton,761.0,BRANDISH WEAPON,37.0,F,H,SINGLE FAMILY DWELLING,Invest Cont
211705066,Devonshire,310.0,BURGLARY,59.0,F,H,SINGLE FAMILY DWELLING,Invest Cont
221300672,Newton,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,25.0,M,H,STREET,Invest Cont
201222333,77th Street,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),41.0,F,H,VEHICLE PASSENGER/TRUCK,Invest Cont
220809697,West LA,210.0,ROBBERY,58.0,F,W,STREET,Adult Arrest
211009757,West Valley,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,59.0,M,W,BAR/SPORTS BAR (OPEN DAY & NIGHT),Invest Cont
211605844,Foothill,331.0,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),32.0,F,H,STREET,Invest Cont
211111391,Northeast,860.0,BATTERY WITH SEXUAL CONTACT,34.0,F,O,OTHER PREMISE,Invest Cont
211808252,Southeast,624.0,BATTERY - SIMPLE ASSAULT,82.0,F,B,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
210504243,Harbor,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,46.0,F,W,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Adult Arrest
211012597,West Valley,624.0,BATTERY - SIMPLE ASSAULT,19.0,F,W,SINGLE FAMILY DWELLING,Adult Arrest
200104835,Central,901.0,VIOLATION OF RESTRAINING ORDER,47.0,F,H,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
212008105,Olympic,930.0,CRIMINAL THREATS - NO WEAPON DISPLAYED,44.0,F,B,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Adult Arrest
211213530,77th Street,236.0,INTIMATE PARTNER - AGGRAVATED ASSAULT,47.0,F,H,SINGLE FAMILY DWELLING,Adult Other
211304524,Newton,761.0,BRANDISH WEAPON,40.0,F,B,SIDEWALK,Invest Cont
201106569,Northeast,310.0,BURGLARY,71.0,F,H,PUBLIC STORAGE,Invest Cont
210404937,Hollenbeck,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),76.0,F,H,OTHER RESIDENCE,Invest Cont
200714540,Wilshire,210.0,ROBBERY,26.0,F,B,OTHER BUSINESS,Invest Cont
200116270,Central,210.0,ROBBERY,29.0,M,O,SIDEWALK,Invest Cont
200910475,Van Nuys,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,26.0,F,H,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Adult Arrest
211714663,Devonshire,354.0,THEFT OF IDENTITY,21.0,M,O,STREET,Adult Arrest
210613582,Hollywood,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,25.0,M,W,SIDEWALK,Invest Cont
211821734,Southeast,251.0,SHOTS FIRED AT INHABITED DWELLING,12.0,F,X,SINGLE FAMILY DWELLING,Invest Cont
201812620,Southeast,210.0,ROBBERY,41.0,M,B,ALLEY,Invest Cont
211211181,77th Street,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,47.0,M,H,SINGLE FAMILY DWELLING,Invest Cont
200716810,Wilshire,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),57.0,M,W,VEHICLE PASSENGER/TRUCK,Invest Cont
220207825,Rampart,627.0,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,12.0,F,H,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Adult Other
221809839,Southeast,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,30.0,M,W,STREET,Invest Cont
211413487,Pacific,440.0,THEFT PLAIN - PETTY ($950 & UNDER),32.0,F,W,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Adult Other
201517006,N Hollywood,210.0,ROBBERY,24.0,M,B,PARKING LOT,Adult Other
201412528,Pacific,331.0,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),70.0,M,A,STREET,Invest Cont
201409998,Pacific,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,45.0,M,W,SINGLE FAMILY DWELLING,Invest Cont
200411533,Hollenbeck,860.0,BATTERY WITH SEXUAL CONTACT,48.0,F,H,HOSPITAL,Adult Other
201206337,77th Street,956.0,LETTERS LEWD  -  TELEPHONE CALLS LEWD,22.0,F,H,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
211911773,Mission,930.0,CRIMINAL THREATS - NO WEAPON DISPLAYED,22.0,M,H,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Adult Other
212116131,Topanga,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,22.0,F,H,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Adult Other
212100549,Topanga,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,29.0,M,H,STREET,Adult Other
220704495,Wilshire,354.0,THEFT OF IDENTITY,40.0,F,W,SINGLE FAMILY DWELLING,Invest Cont
201505145,N Hollywood,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),65.0,M,W,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
201420618,Pacific,761.0,BRANDISH WEAPON,61.0,M,W,PARKING LOT,Adult Other
200314798,Southwest,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),37.0,M,H,VEHICLE PASSENGER/TRUCK,Invest Cont
211200777,77th Street,666.0,BUNCO ATTEMPT,38.0,F,B,SINGLE FAMILY DWELLING,Invest Cont
200112617,Central,310.0,BURGLARY,29.0,F,K,OTHER BUSINESS,Invest Cont
210405604,Hollenbeck,440.0,THEFT PLAIN - PETTY ($950 & UNDER),43.0,F,W,STREET,Invest Cont
210210343,Rampart,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),24.0,F,A,PARKING UNDERGROUND/BUILDING,Invest Cont
211816693,Southeast,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,32.0,M,B,STREET,Invest Cont
201917239,Mission,330.0,BURGLARY FROM VEHICLE,43.0,M,O,STREET,Invest Cont
200210405,Rampart,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,25.0,F,B,STREET,Invest Cont
211220640,77th Street,440.0,THEFT PLAIN - PETTY ($950 & UNDER),58.0,F,B,SINGLE FAMILY DWELLING,Invest Cont
200619191,Hollywood,821.0,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,24.0,M,W,HOTEL,Adult Other
201205587,77th Street,236.0,INTIMATE PARTNER - AGGRAVATED ASSAULT,61.0,M,B,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Adult Arrest
200309786,Southwest,354.0,THEFT OF IDENTITY,45.0,F,B,SINGLE FAMILY DWELLING,Invest Cont
210608391,Hollywood,440.0,THEFT PLAIN - PETTY ($950 & UNDER),65.0,M,B,CHECK CASHING*,Invest Cont
221108614,Northeast,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),27.0,F,H,VEHICLE PASSENGER/TRUCK,Invest Cont
212011411,Olympic,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,58.0,F,K,RESTAURANT/FAST FOOD,Invest Cont
201306742,Newton,900.0,VIOLATION OF COURT ORDER,65.0,M,H,SINGLE FAMILY DWELLING,Invest Cont
211612582,Foothill,331.0,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),59.0,M,H,OTHER BUSINESS,Invest Cont
210408542,Hollenbeck,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,47.0,M,H,OTHER BUSINESS,Invest Cont
210810667,West LA,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),27.0,M,W,SINGLE FAMILY DWELLING,Invest Cont
201215995,77th Street,110.0,CRIMINAL HOMICIDE,58.0,M,B,STREET,Invest Cont
201606341,Foothill,624.0,BATTERY - SIMPLE ASSAULT,74.0,M,O,SINGLE FAMILY DWELLING,Invest Cont
221015193,West Valley,440.0,THEFT PLAIN - PETTY ($950 & UNDER),70.0,M,O,MISSIONS/SHELTERS,Invest Cont
201817751,Southeast,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),30.0,F,B,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
200608623,Hollywood,888.0,TRESPASSING,58.0,F,O,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
211916059,Mission,930.0,CRIMINAL THREATS - NO WEAPON DISPLAYED,46.0,F,W,LIBRARY,Adult Arrest
221205653,77th Street,210.0,ROBBERY,21.0,F,H,STREET,Adult Other
202017833,Olympic,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),44.0,F,H,PARKING LOT,Invest Cont
212000728,Olympic,330.0,BURGLARY FROM VEHICLE,23.0,F,H,STREET,Invest Cont
211316705,Newton,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),80.0,F,B,SINGLE FAMILY DWELLING,Adult Other
220410299,Hollenbeck,624.0,BATTERY - SIMPLE ASSAULT,65.0,M,B,SIDEWALK,Invest Cont
212108864,Topanga,956.0,LETTERS LEWD  -  TELEPHONE CALLS LEWD,62.0,M,W,SINGLE FAMILY DWELLING,Invest Cont
210619053,Hollywood,330.0,BURGLARY FROM VEHICLE,38.0,M,H,SIDEWALK,Invest Cont
220709438,Wilshire,860.0,BATTERY WITH SEXUAL CONTACT,16.0,F,H,HIGH SCHOOL,Invest Cont
211710166,Devonshire,624.0,BATTERY - SIMPLE ASSAULT,37.0,M,H,RESTAURANT/FAST FOOD,Invest Cont
200708804,Wilshire,661.0,UNAUTHORIZED COMPUTER ACCESS,26.0,F,H,SINGLE FAMILY DWELLING,Invest Cont
211410226,Pacific,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),56.0,F,B,STREET,Adult Arrest
210620206,Hollywood,648.0,ARSON,52.0,F,H,STREET,Invest Cont
211608381,Foothill,210.0,ROBBERY,64.0,F,H,OTHER PREMISE,Invest Cont
200513730,Harbor,900.0,VIOLATION OF COURT ORDER,38.0,F,H,STREET,Adult Arrest
211714270,Devonshire,331.0,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),44.0,F,B,MEDICAL/DENTAL OFFICES,Invest Cont
210512940,Harbor,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),30.0,M,F,STREET,Invest Cont
200211133,Rampart,624.0,BATTERY - SIMPLE ASSAULT,33.0,F,B,MTA - RED LINE - WESTLAKE/MACARTHUR PARK,Invest Cont
211419303,Pacific,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),48.0,F,W,SINGLE FAMILY DWELLING,Invest Cont
200210254,Rampart,210.0,ROBBERY,47.0,F,H,STREET,Invest Cont
210313226,Southwest,902.0,VIOLATION OF TEMPORARY RESTRAINING ORDER,46.0,F,B,STREET,Invest Cont
210711579,Wilshire,440.0,THEFT PLAIN - PETTY ($950 & UNDER),42.0,M,W,PORCH RESIDENTIAL,Invest Cont
201000587,West Valley,210.0,ROBBERY,22.0,M,W,STREET,Adult Arrest
201210751,77th Street,236.0,INTIMATE PARTNER - AGGRAVATED ASSAULT,43.0,F,B,SINGLE FAMILY DWELLING,Adult Other
201509901,N Hollywood,624.0,BATTERY - SIMPLE ASSAULT,13.0,F,B,COFFEE SHOP (STARBUCKS COFFEE BEAN PEET'S ETC.),Invest Cont
200407391,Hollenbeck,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,56.0,F,H,SIDEWALK,Adult Arrest
200710907,Wilshire,354.0,THEFT OF IDENTITY,30.0,F,W,STREET,Adult Arrest
201604492,Foothill,888.0,TRESPASSING,43.0,M,H,OTHER BUSINESS,Invest Cont
210907823,Van Nuys,624.0,BATTERY - SIMPLE ASSAULT,17.0,M,W,GROUP HOME,Adult Other
201513837,N Hollywood,624.0,BATTERY - SIMPLE ASSAULT,23.0,M,H,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Adult Other
201008381,West Valley,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),32.0,M,O,STREET,Invest Cont
211114939,Northeast,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),29.0,M,H,STREET,Invest Cont
211911518,Mission,442.0,SHOPLIFTING - PETTY THEFT ($950 & UNDER),24.0,F,H,DEPARTMENT STORE,Invest Cont
211907076,Mission,331.0,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),49.0,M,H,STREET,Invest Cont
200113189,Central,350.0,THEFT PERSON,41.0,M,H,SIDEWALK,Invest Cont
202015115,Olympic,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),71.0,F,W,VEHICLE PASSENGER/TRUCK,Invest Cont
200908872,Van Nuys,624.0,BATTERY - SIMPLE ASSAULT,49.0,M,B,DRIVEWAY,Adult Other
211707099,Devonshire,230.0,ASSAULT WITH DEADLY WEAPON AGGRAVATED ASSAULT,17.0,M,H,SIDEWALK,Invest Cont
220915587,Van Nuys,626.0,INTIMATE PARTNER - SIMPLE ASSAULT,34.0,F,H,DRUG STORE,Adult Other
201208406,77th Street,121.0,RAPE FORCIBLE,16.0,F,B,DRIVEWAY,Invest Cont
221917462,Mission,901.0,VIOLATION OF RESTRAINING ORDER,33.0,F,H,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Adult Arrest
201409234,Pacific,740.0,VANDALISM - FELONY ($400 & OVER ALL CHURCH VANDALISMS),34.0,M,W,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Adult Other
201226319,77th Street,624.0,BATTERY - SIMPLE ASSAULT,23.0,F,H,RESTAURANT/FAST FOOD,Invest Cont
200508189,Harbor,745.0,VANDALISM - MISDEAMEANOR ($399 OR UNDER),32.0,F,H,ALLEY,Adult Other
211413534,Pacific,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),75.0,F,B,PARKING LOT,Invest Cont
202113635,Topanga,310.0,BURGLARY,35.0,M,X,DRUG STORE,Invest Cont
201222289,77th Street,310.0,BURGLARY,30.0,F,B,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
201013435,West Valley,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),24.0,M,H,STREET,Invest Cont
200208601,Rampart,354.0,THEFT OF IDENTITY,39.0,F,O,MULTI-UNIT DWELLING (APARTMENT DUPLEX ETC),Invest Cont
201517839,N Hollywood,350.0,THEFT PERSON,49.0,M,W,STREET,Invest Cont
210611647,Hollywood,624.0,BATTERY - SIMPLE ASSAULT,37.0,M,H,SIDEWALK,Invest Cont
221115418,Northeast,341.0,THEFT-GRAND ($950.01 & OVER)EXCPTGUNSFOWLLIVESTKPROD,34.0,F,O,CONSTRUCTION SITE,Invest Cont
210609108,Hollywood,420.0,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),24.0,M,W,STREET,Adult Arrest
211114437,Northeast,440.0,THEFT PLAIN - PETTY ($950 & UNDER),35.0,M,H,SINGLE FAMILY DWELLING,Invest Cont
201110483,Northeast,330.0,BURGLARY FROM VEHICLE,44.0,F,W,PARK/PLAYGROUND,Invest Cont
211711489,Devonshire,341.0,THEFT-GRAND ($950.01 & OVER)EXCPTGUNSFOWLLIVESTKPROD,40.0,F,O,DRUG STORE,Invest Cont
